dish_name,description,korean_name,image_url
Dalkgomtang,"Chicken soup with a milky broth, slow-cooked for a rich, comforting flavor.",닭곰탕,
Deodeok Gui,Grilled deodeok root (a type of mountain herb) marinated in gochujang.,더덕구이,
Deulkkae Sujebi,"Perilla seed soup with hand-pulled dough, offering a nutty and comforting flavor.",들깨수제비,
Doenjang Jjigae,"Fermented soybean paste stew with tofu, zucchini, and mushrooms.",된장찌개,
Dongchimi,Lightly fermented radish water kimchi with a refreshing and mild taste.,동치미,
Dotori Muk,Acorn jelly served with soy sauce-based dressing and fresh vegetables.,도토리묵,
Dubu Kimchi,Pan-fried tofu paired with stir-fried kimchi and pork.,두부김치,
Dwaeji Gukbap,"Pork soup with rice, a specialty of Busan.",돼지국밥,
Eomandu,Steamed fish dumplings filled with minced fish and vegetables.,어만두,
Eomuk Tang,"Skewered fish cakes served in a warm, light broth.",어묵탕,
Eunhaeng Jorim,"Braised gingko nuts, slightly sweetened and used as a side dish or snack.",은행조림,
Gaeran Mari,"Rolled omelet with vegetables, a simple yet popular side dish.",계란말이,
Galbi,Marinated and grilled beef ribs with a sweet-savory soy sauce-based marinade.,갈비,
Galbijjim,Braised short ribs cooked in a savory soy-based sauce with vegetables.,갈비찜,
Galbitang,Beef short rib soup simmered with radish and glass noodles.,갈비탕,
Galchi Gui,Grilled cutlassfish with soy sauce and sesame oil seasoning.,갈치구이,
Galchi Jorim,Braised hairtail fish with radish in a spicy soy-based sauce.,갈치조림,
Gamja Jeon,"Potato pancakes made with grated potatoes, crispy on the outside and tender inside.",감자전,
Gamjajeon-guk,"Potato and dumpling soup, hearty and savory with a mild broth.",감자전국,
Gamjajungol,Potato stew cooked with beef and vegetables in a savory broth.,감자전골,
Gamjatang,"Spicy pork bone soup with potatoes, perilla seeds, and vegetables.",감자탕,
Gan Jajangmyeon,A dry variation of jjajangmyeon with more concentrated black bean sauce.,간짜장면,
Ganghwasu,Traditional herb tea known for its refreshing and medicinal qualities.,강화수,
Ganjang Gejang,"Raw crabs marinated in soy sauce, often referred to as 'rice thief'.",간장게장,
Gat Kimchi,"Mustard leaf kimchi with a sharp, tangy, and slightly spicy taste.",갓김치,
Gejang,"Soy-marinated raw crab, a delicacy with a savory and umami flavor.",게장,
Geumbokjuk,Sea cucumber and abalone porridge a luxurious and nutritious dish.,금복죽,
Ggakdugi,"Cubed radish kimchi, a crunchy and tangy side dish.",깍두기,
Gobchang Jeongol,"Beef or pork intestine stew with vegetables, tofu, and spicy broth.",곱창전골,
Gochujang,"A fermented red chili paste with a bold, spicy, and slightly sweet flavor.",고추장,
Godeungeo Gui,Grilled mackerel seasoned with salt or a soy-based marinade.,고등어구이,
Godeungeo Hoe,Raw mackerel slices served with dipping sauces.,고등어회,
Godeungeo Jorim,Braised mackerel with radish in a savory soy sauce.,고등어조림,
Godeungeo Kimchi Jjigae,Kimchi stew with mackerel added for a savory depth.,고등어 김치찌개,
Godeungeo Kimchi Jorim,Mackerel braised with kimchi and radish in a spicy broth.,고등어 김치조림,
Golbaengi Muchim,Spicy whelk salad mixed with noodles and vegetables in a sweet and tangy sauce.,골뱅이무침,
Gomguk,"Beef bone soup simmered for a rich, milky consistency.",곰국,
Gomtang,"Rich beef bone soup simmered for hours for a deep, milky flavor.",곰탕,
Gondrebap,Steamed rice mixed with gondre (thistle leaves) and sesame oil for a nutty flavor.,곤드레밥,
Gopchang,"Grilled small intestines of pork or beef, often served with garlic, onions, and spicy sauces.",곱창,
Gopchang Bokkeum,Spicy stir-fried beef or pork intestines with vegetables.,곱창볶음,
Gopchang Jeongol,"Intestine stew with vegetables, tofu, and spicy broth.",곱창전골,
Gosari Namul,Seasoned bracken fern stems served as a side dish.,고사리나물,
Gukbap,"Soup with rice served together in a single bowl, typically made with beef or pork broth.",국밥,
Gul Jeon,Pan-fried oyster pancakes coated with egg batter.,굴전,
Gulbap,Steamed rice topped with fresh oysters served with soy sauce or sesame oil.,굴밥,
Gunmandu,Pan-fried dumplings with various fillings.,군만두,
Gyeongdan,Glutinous rice balls filled with sweet red bean paste and coated with sesame seeds.,경단,
Gyeran Bbang,"Egg bread, a popular Korean street snack.",계란빵,
Gyeran Jjim,"Steamed egg custard, a light and fluffy side dish.",계란찜,
Haemul Jjim,"Steamed seafood dish with spicy sauce, often including crab and shellfish.",해물찜,
Haemul Pajeon,"Seafood pancake made with green onions, squid, and shrimp in a crispy batter.",해물파전,
Haemul Tang,"Spicy seafood soup with clams, shrimp, squid, and vegetables in a bold red broth.",해물탕,
Hangover Soup,"A generic term for soups like haejangguk or kongnamul guk, designed to cure hangovers.",해장국,
Hanwoo,"A premium breed of Korean cattle known for its tender, marbled meat, often used in high-quality dishes like galbi or bulgogi.",한우,
Hobak Juk,Pumpkin porridge made with sweet pumpkin puree and glutinous rice flour.,호박죽,
Hoddeok,"Sweet pancakes filled with brown sugar, nuts, and cinnamon.",호떡,
Hodugwaja,Walnut-shaped pastries filled with sweet red bean paste and walnut pieces.,호두과자,
Hongeo Samhap,Fermented skate paired with pork belly and kimchi for bold flavors.,홍어삼합,
Hongeo Ssam,Fermented skate served with boiled pork belly and kimchi wraps.,홍어쌈,
Hongeohoe,"Fermented skate, known for its pungent aroma and bold flavor, served with side dishes.",홍어회,
Hongeojjim,Steamed fermented skate served with steamed pork belly and kimchi.,홍어찜,
Honghap Tang,Mussel soup in a clear and lightly seasoned broth.,홍합탕,
Hotteok,"Sweet pancakes filled with cinnamon, brown sugar, and nuts.",호떡,
Hwangnamppang,"Soft and sweet red bean-filled bread, a specialty of Gyeongju.",황남빵,
Hwangtae Gui,Grilled dried pollock seasoned with sesame oil and soy sauce.,황태구이,
Hwangtae-guk,"Dried pollock soup, a popular hangover cure.",황태국,
Hwe Dup Bap,Mixed rice bowl topped with fresh raw fish and spicy gochujang sauce.,회덮밥,
Janchi Guksu,Thin wheat noodles with a light broth.,잔치국수,
Janggukbap,"Beef or soy sauce soup served with rice, a hearty and simple meal.",장국밥,
Jangjorim,"Soy-braised beef or pork, typically served as a banchan (side dish).",장조림,
Japchae,Stir-fried glass noodles with mixed vegetables and meat.,잡채,
Japgokbap,"Multigrain rice cooked with a mix of grains like barley, millet, and beans.",잡곡밥,
Jeonbok Gui,Grilled abalone seasoned with butter or soy sauce.,전복구이,
Jeonbokjuk,"Abalone porridge, a delicate and nutritious dish.",전복죽,
Jeyuk Bokkeum,Spicy stir-fried pork with onions and chili paste.,제육볶음,
Jeyuk Dupbap,Rice topped with spicy stir-fried pork and vegetables.,제육덮밥,
Jjajangmyeon,Noodles in black bean sauce served with diced pork and vegetables.,짜장면,
Jjamppong,Spicy seafood noodle soup with a bold broth.,짬뽕,
Jjapaguri,"A fusion of Jjajang ramen and spicy Neoguri ramen, often topped with beef.",짜파구리,
Jjimdak,"Braised chicken with soy-based sauce, glass noodles, and vegetables.",찜닭,
Jjolmyeon,Chewy noodles mixed with vegetables in a spicy and tangy sauce.,쫄면,
Jogaetang,"Clam soup made with clear broth, seasoned with garlic and green onions.",조개탕,
Jokbal,"Braised pig’s trotters seasoned with soy sauce, garlic, and ginger, served with dipping sauces.",족발,
Jong-gak Jeotgal,Fermented radish greens served as a salty and pungent side dish.,종각젓갈,
Juk,Korean porridge made with rice and a variety of ingredients.,죽,
Jukkumi Bokkeum,Spicy stir-fried baby octopus with a gochujang-based sauce.,주꾸미볶음,
Jumeokbap,"Rice balls mixed with sesame oil, seaweed, and other ingredients for a quick meal or snack.",주먹밥,
Kal Guksu,Knife-cut wheat noodles served in a light and flavorful broth.,칼국수,
Kim Mari,"Seaweed rolls stuffed with glass noodles and deep-fried, often served as a street snack.",김말이,
Kimbap,"Rice and various fillings rolled in seaweed, similar to sushi.",김밥,
Kimchi Bokkeum,Stir-fried kimchi often paired with tofu or pork.,김치볶음,
Kimchi Fried Rice,"Stir-fried rice mixed with kimchi and vegetables, topped with a fried egg.",김치볶음밥,
Kimchi Jjigae,"Kimchi stew with pork, tofu, and a spicy broth.",김치찌개,
Kimchi Mandu,"Dumplings stuffed with kimchi, pork, and tofu.",김치만두,
Kimchijeon,Savory pancake made with kimchi and flour batter.,김치전,
Kkaennip Jangajji,"Pickled perilla leaves marinated in soy sauce, garlic, and chili.",깻잎장아찌,
Kkotgetang,Spicy blue crab soup with radish and vegetables.,꽃게탕,
Kongbiji Jjigae,"Thick stew made from ground soybeans, often served with pork or kimchi.",콩비지찌개,
Kongguksu,Cold soy milk noodle soup with a creamy and nutty flavor.,콩국수,
Maeuntang,"Spicy fish stew with radish, tofu, and vegetables in a red pepper broth.",매운탕,
Makchang Gui,Grilled beef or pork abomasum with spicy dipping sauces.,막창구이,
Makgeolli,"Traditional Korean rice wine, slightly tangy and sweet.",막걸리,
Makguksu,"Cold buckwheat noodles in a spicy, tangy sauce, popular in Gangwon Province.",막국수,
Mandu,"Korean dumplings filled with various ingredients, steamed or fried.",만두,
Mandu Guk,"Dumpling soup, a popular dish during Korean New Year celebrations.",만두국,
Meongge Hoe,Raw sea pineapple (meongge) served fresh with spicy dipping sauce.,멍게회,
Milguksu,"Wheat flour noodles served in a simple broth, often with spicy condiments.",밀국수,
Milmyeon,Cold wheat noodles in a tangy and slightly sweet broth popular in Busan.,밀면,
Modum Jeon,"Assorted Korean pancakes with various fillings like seafood, vegetables, and meat.",모듬전,
Muguk,"Radish soup made with beef or anchovy stock, a comforting, mild dish.",무국,
Mul Kimchi,Water kimchi with a tangy broth.,물김치,
Mul Mandu,Boiled dumplings served in a clear soup.,물만두,
Mul Naengmyeon,Cold buckwheat noodles served in a tangy iced broth.,물냉면,
Mulhoe,Cold spicy soup with raw fish and vegetables a refreshing summer dish.,물회,
Myeolchibokkeum,"Stir-fried anchovies with soy sauce, sugar, and sesame seeds.",멸치볶음,
Myeongnan Jeot,"Salted pollock roe, often eaten as a side dish with rice.",명란젓,
Nabak Kimchi,"Water-based kimchi with radish, napa cabbage, and a light, tangy flavor.",나박김치,
Naengmyeon,"Cold buckwheat noodles in a tangy broth, perfect for summer.",냉면,
Nakji Bokkeum,Spicy stir-fried octopus with vegetables.,낙지볶음,
Nakji Tang,Octopus soup made with spicy broth and vegetables.,낙지탕,
Nokdu Jeon,Mung bean pancakes with various ingredients.,녹두전,
Nureungji,Crunchy scorched rice often served as a snack or boiled into a porridge-like dish.,누릉지,
Ojingeo Bokkeum,Stir-fried squid with vegetables in a spicy gochujang-based sauce.,오징어볶음,
Ojingeo Muchim,"Spicy squid salad with thinly sliced squid, vegetables, and chili sauce.",오징어무침,
Ojingeochae Muchim,Seasoned dried squid strips with a spicy and sweet sauce.,오징어채무침,
Pajeon,"Green onion pancakes, sometimes mixed with seafood for added flavor.",파전,
Patbingsu,"Shaved ice dessert topped with sweet red beans, condensed milk, and fruits.",팥빙수,
Patjuk,Sweet red bean porridge with chewy rice cakes.,팥죽,
Pyeonyuk,Thinly sliced boiled meat (often pork or beef) served with ssamjang and vegetables.,편육,
Saengseon Hoe,Fresh raw fish slices served with gochujang-based dipping sauce.,생선회,
Samgyeopsal,Grilled pork belly served with dipping sauces and side dishes.,삼겹살,
Samgyetang,"Ginseng chicken soup, often eaten in summer to boost energy.",삼계탕,
Samhap,"Fermented skate, boiled pork, and kimchi served together.",삼합,
Samseon Jajangmyeon,"Black bean noodles with seafood, vegetables, and pork or beef.",삼선짜장면,
Samseon Jjamppong,"Seafood noodle soup made with shrimp, squid, mussels, and spicy broth.",삼선짬뽕,
San-nakji,"Live octopus served raw, often moving on the plate and dipped in sesame oil.",산낙지,
Seolleongtang,"Ox bone soup with a milky broth, served with rice and green onions.",설렁탕,
Seonji Guk,"Soup with blood curd, often served in beef broth.",선지국,
Seopjuk,Seaweed porridge with a smooth and nutritious texture.,섭죽,
Shiraegi Guk,"Soup made with dried radish greens and soybean paste for a rustic, earthy flavor.",시래기국,
Sikhye,"Sweet rice punch made from malted barley and rice, served as a dessert drink.",식혜,
Sinseollo,"Royal hot pot with a variety of meats, seafood, and vegetables.",신선로,
Soju, a clear and colorless distilled alcoholic beverage from Korea.,소주,
Songpyeon,"Half-moon-shaped rice cakes filled with sweet sesame or red bean paste, traditionally made during Chuseok.",송편,
Ssam,"A wrap dish using lettuce leaves filled with rice, protein, and condiments.",쌈,
Ssambap,Rice wrapped in lettuce or perilla leaves with a variety of fillings and condiments.,쌈밥,
Sujeonggwa,"Cinnamon and ginger punch, a sweet and spicy dessert drink.",수정과,
Sundae,Korean blood sausage made with pig's intestines stuffed with noodles and spices.,순대,
Sundubu Jjigae,"Soft tofu stew with seafood, kimchi, or pork in a spicy broth.",순두부찌개,
Tangpyeongchae,"Cold jelly noodle salad with vegetables, beef, and a soy-based dressing.",탕평채,
Tangsuyuk,Sweet and sour pork or beef served with a tangy sauce.,탕수육,
Tarakjuk,"Milk porridge made with rice flour, creamy and mildly sweet.",타락죽,
Tongdak,"Whole roasted chicken, often stuffed with glutinous rice, ginseng, and garlic.",통닭,
Tteokbokki,Stir-fried rice cakes in a spicy and sweet gochujang sauce.,떡볶이,
Tteokgalbi,Grilled short rib patties seasoned with sweet soy-based marinade.,떡갈비,
Tteokguk,"Soup made with sliced rice cakes, traditionally eaten during Lunar New Year.",떡국,
Twigim,"Assorted Korean tempura, including vegetables, shrimp, and seaweed rolls.",튀김,
Ugeoji Tang,Dried cabbage leaf soup with soybean paste and beef stock.,우거지탕,
Yaksik,"Sweetened glutinous rice with jujubes chestnuts and pine nuts often served as a dessert.",약식,
Yangjangpi,"Cold jellyfish salad with a tangy mustard sauce, often served at special occasions.",양장피,
Yangnyeom Gejang,"Spicy marinated raw crab with chili, garlic, and soy-based sauce.",양념게장,
Yangnyeom Tongdak,Spicy and sweet Korean fried chicken.,양념통닭
Yeolmu Kimchi,Young radish kimchi with a fresh and crisp texture.,열무김치,
Yeongeun Jorim,Braised lotus roots glazed with soy sauce and honey for a sweet and savory side.,연근조림,
Yeonggye Baeksuk,"Whole chicken stew with jujube, garlic and rice served with a light broth.",영계백숙,
Yeongyang Dolsotbap,Nutritious rice cooked in a hot stone pot with chestnuts and jujubes.,영양돌솥밥,
Yeonipbap,"Rice wrapped in lotus leaves, steamed with nuts, dates, and other toppings.",연잎밥,
Yubu Chobap,"Fried tofu pockets stuffed with seasoned rice, a sweet and tangy bite.",유부초밥,
Yukgaejang,"Spicy beef soup with shredded meat, scallions, and vegetables.",육개장,
Yukhoe,"Korean-style beef tartare seasoned with sesame oil, soy sauce, and garlic.",육회,
Yukhoe Bibimbap,Rice mixed with Korean-style beef tartare and vegetables.,육회비빔밥,
Yukjeon,"Thinly sliced beef dipped in egg wash and pan-fried, often served as a special side dish.",육전,
Zucchini Hobakjeon,Thinly sliced zucchini coated in a light batter and pan-fried.,호박전
